x-entity;Anarchism;Antisemitism;Capitalism;Christianity;Communism;Conservatism;Democracy;Fascism;Feminism;Islamophobia;Left-wing politics;Liberalism;Marxism;Nationalism;Neo-Nazism;Protestantism;Right-wing politics;Secularism;Socialism;White supremacy
Frederica Wilson (D);0.06948398583818938;0.0782487147184542;0.05750232315239663;0.05499886633634017;0.06186279704300042;0.0705151474606936;0.07067693134699833;0.06807976549685543;0.06227618173415614;0.06003985136102752;0.07176837751751583;0.063550084936738;0.05117051564087059;0.06797287836501127;0.10164611835425068;0.06180271177113435;0.056819919407866085;0.05431330585666312;0.07859207754129482;0.07922339852966476
Ileana Ros-Lehtinen (R);0.10312831442957529;0.1175884417024183;0.09038731164886489;0.06551160369515303;0.10414254897489554;0.121869171597913;0.1377815638956609;0.11414050593766682;0.0897562175746312;0.09470060935111659;0.11347829450322239;0.12250346902003204;0.07689063056006207;0.11184954709757419;0.13525607973207807;0.0819891085881923;0.1263532985402482;0.09430213658746558;0.11370049336463633;0.09767462304077731
Ted Deutch (D);0.07197372482741901;0.06903904366736581;0.057900732195054976;0.04809860696605438;0.06639020064480657;0.06806028310097113;0.09446377152817953;0.0702804124353518;0.04766371251107106;0.05662084529629154;0.08572548556136535;0.0822885026300209;0.05006929220187354;0.0663694969794686;0.0983811958484146;0.056678605451120904;0.06785045356313968;0.06758415312183955;0.08283070417435344;0.06308807447066125
Debbie Wasserman Schultz (D);0.0913430963585001;0.11114909508180237;0.06940402576771701;0.07788078449795291;0.08261966453734418;0.10727659984897656;0.11111397826554531;0.08870488283820187;0.07207806881012781;0.06806403219170809;0.09596135085084696;0.09290454903973383;0.0685175084681221;0.09589483236991417;0.1296021151420654;0.09095366471577748;0.09050544221387197;0.0822536800176562;0.11588274543431189;0.07397658295528027
Allen West (politician) (R);0.10918302352060501;0.08452318531694794;0.08112292441205485;0.06658008433606924;0.08596103085743291;0.10554118211402207;0.09785365694538824;0.10090764340516643;0.06900366072963482;0.09086556705074465;0.12153630977688346;0.10862985262520933;0.08044348277079305;0.10722469193387857;0.15546803599203807;0.07086374282606273;0.100345028729675;0.09042474658405303;0.12877799095329467;0.07144743469134215
Alcee Hastings (D);0.08272656323050383;0.08494556181470589;0.07460110905588906;0.05305804046947903;0.08073119991922474;0.08467346697364503;0.085164873841944;0.0910029961913782;0.05529027831275977;0.05956558751479011;0.1010894084769323;0.08844950963758894;0.0512333411884194;0.07656596816201872;0.10767842820016449;0.06614215319186012;0.08618290358171783;0.06406987747628004;0.08892807756236201;0.08252672408515882
Sandy Adams (R);0.06504319403215725;0.054825747339309366;0.04929782595265775;0.05315297960384369;0.060381000692161665;0.07223984401016195;0.07087878268636183;0.06733338916980743;0.054828895008153536;0.05135694226247189;0.06680758335651941;0.06790619040319795;0.04128813835422994;0.05448558542147188;0.08404787479991176;0.051500048597576675;0.0632534784794136;0.05638974297873591;0.07105570944831485;0.05063955309953896
David Rivera (R);0.0738785053835044;0.0694510891723896;0.05745717096391928;0.054529825734623866;0.07175640569833514;0.0869551261767346;0.08910615303528027;0.07939847251195425;0.05200744107597974;0.06062014191909797;0.07737628173213384;0.07745312377811285;0.05615426061211361;0.07726483532893984;0.09711735411953729;0.06329833433858179;0.08555914377099405;0.06693156178155932;0.091379087049584;0.07077485629338526
Jack Kingston (R);0.08462838187326595;0.06937731830917379;0.07823359828499116;0.05182781486738785;0.07639987401222668;0.0884496265916512;0.07537460019037394;0.08413215780413012;0.060037605188463614;0.06251237386175103;0.08502226943288102;0.07674155290413497;0.06318950507869864;0.07507634477820739;0.10350174597732706;0.065522785175376;0.07531679309410444;0.058646063574690765;0.09065083414089053;0.07486722190944173
Sanford Bishop (D);0.08682482666012696;0.08271592801379105;0.06374729482710877;0.07873071703132259;0.069676018425873;0.08973737003663723;0.08833080482926271;0.07984264299005567;0.061892824078309316;0.06897611084863066;0.08117896143912604;0.07732162680980958;0.05238172759515471;0.08060388959385112;0.12149155510182941;0.08577229838822888;0.09652969309797521;0.07511306376737795;0.09410864018418576;0.0950923268695597
