x-entity;Anarchism;Antisemitism;Capitalism;Christianity;Communism;Conservatism;Democracy;Fascism;Feminism;Islamophobia;Left-wing politics;Liberalism;Marxism;Nationalism;Neo-Nazism;Protestantism;Right-wing politics;Secularism;Socialism;White supremacy
Frederica Wilson (D);0.09795184877029739;0.09781817445838406;0.08946283602827856;0.08736403657312405;0.09291819276951586;0.10240443304698099;0.10124153971493494;0.0996199510638692;0.09371587254394415;0.0879399340303432;0.10634215633153696;0.09363580889544684;0.08433091169665663;0.09850078296029183;0.13382731954414853;0.09023155092716639;0.08879758617052227;0.0842091120927863;0.10952499779016994;0.11002927928104728
Ileana Ros-Lehtinen (R);0.13873904652924451;0.14001536704527173;0.11978970083893468;0.09705251918422156;0.1291135950371288;0.1430368355399149;0.16258721263327516;0.14236454034419438;0.11414355566471955;0.12663193691111485;0.13567445232219338;0.1562063539099363;0.10422424089694399;0.13890070230683021;0.1618255114347103;0.10951379100963332;0.1455935574715979;0.1343426048162392;0.1433416539822969;0.12878098957011022
Ted Deutch (D);0.11196897612605278;0.10120800804993259;0.08982507371818753;0.08121246592273763;0.10018670184932763;0.10010552436162637;0.12397661246235771;0.10168403121054766;0.07720330962496755;0.08473180750471965;0.1117386949797883;0.11714258901752488;0.08337235601364235;0.09699776258210194;0.12566275517981035;0.08542697221562942;0.09900121953419258;0.09662212142506474;0.11356096133523336;0.0948698383497361
Debbie Wasserman Schultz (D);0.12903191597686856;0.14148054842054988;0.10047810798611079;0.10040607568900262;0.11644297247376346;0.1276706108626525;0.13847805196648136;0.11920239669469812;0.10384419001366668;0.09556504318185768;0.11327088167163435;0.11281231251238417;0.08952400691598847;0.11319460025907765;0.15407636272490113;0.11113794301352525;0.10721546203001867;0.10060957921657723;0.13680062908609836;0.10505580958740032
Allen West (politician) (R);0.137845428894572;0.1158402793535421;0.11132662229680058;0.09805118381608194;0.10949928484274588;0.12881219906998423;0.12407862279361215;0.12760438473265248;0.09630843134208708;0.11731457565590683;0.1476600341256154;0.1350108888938107;0.10950057642728857;0.13612684046666135;0.1824357575592089;0.09883254686340975;0.12865186754023428;0.12436548411833553;0.15027401997675946;0.09541694139463233
Alcee Hastings (D);0.11199463922851657;0.11624322722198907;0.10533388487770055;0.08561173350700182;0.1067637241269198;0.10994149664645983;0.11502837255838698;0.12040509340265027;0.08577111346783459;0.087493099818586;0.12124648175069644;0.11231037005115482;0.08438585407508467;0.10662584497849563;0.134728941043201;0.09433673435318253;0.1061762356863683;0.09338759157131077;0.11939584188415595;0.1105899366522661
Sandy Adams (R);0.09813956913203889;0.08818213807771977;0.08217432023382007;0.07708820340605824;0.0943819242067449;0.09487486339638491;0.10143182589717048;0.08900503810579662;0.09012899784246345;0.07987447787689501;0.09971484352028107;0.10084402397891681;0.07622635818972479;0.08606254499865205;0.12561094383888094;0.08063604101842342;0.08410775316376146;0.08878873931974905;0.10240151434790806;0.08363522611162807
David Rivera (R);0.1079871686839908;0.10485225143192772;0.08376148894418808;0.08508803192729228;0.10682310870009293;0.10898983588519362;0.11754550338803446;0.10054855064323476;0.09052643541083608;0.10070696822894215;0.10215821830377791;0.10943159990871348;0.09376195089616685;0.11212439945038324;0.13118017642270033;0.09942874064087445;0.10556908446090431;0.08648421595163187;0.12386155080065245;0.10498479084098289
Jack Kingston (R);0.11912260814209866;0.09430359118982336;0.10266794195768565;0.08447378813590417;0.10271112992800428;0.11043479532330294;0.10435262569630874;0.11402416381107533;0.09172987365938554;0.10056899125544135;0.11781811702094713;0.10777565206424816;0.10096944956120904;0.11378537360320869;0.14302794476253503;0.09965446623513106;0.0956403261499732;0.08991511168751964;0.12221576256356183;0.10359338063668762
Sanford Bishop (D);0.12627280094433363;0.10216058459795305;0.09557446871011593;0.10122081518512377;0.1017920027703047;0.12063226593540755;0.11892587793441078;0.11069491535551854;0.09244571215943276;0.0953111698366661;0.11185025245666819;0.10832556938786314;0.0829420253548662;0.12026796640248813;0.16042843652374145;0.11740544567642515;0.1273569460479264;0.08988639287255612;0.12640640720845356;0.11774442550093692
Lynn Westmoreland (R);0.11698667199375151;0.11373919743278088;0.10494543890785124;0.08510011562109424;0.1056653317321622;0.12156177944018137;0.12288911273924788;0.1111173270227025;0.09346767828439911;0.11497260730008285;0.11400843006314965;0.11427659751492072;0.10076424012226436;0.1137451062540895;0.14154857890535807;0.10338420079628768;0.10913452609545457;0.09652475897132956;0.127447345175993;0.11557206410587781
Hank Johnson (D);0.11704628553750712;0.12742188038981708;0.09794048111854661;0.08456718004012391;0.09770416567949129;0.104409037805577;0.12168459572802867;0.11896887180675904;0.08771669127949465;0.11102142444710249;0.114944632267616;0.11254180131085212;0.08237585484449128;0.11115490921966767;0.14958900325919927;0.10157391524321135;0.09783474314332674;0.08723931627746552;0.1203396161850008;0.12071963612410516
Rob Woodall (R);0.10554484528814659;0.09764848632756472;0.09076920028448394;0.0796746264611326;0.09434568946652078;0.11490215273782758;0.11069660839995649;0.0996220070970947;0.0848428420051549;0.10945515242197501;0.10705803703159607;0.10609832788071627;0.0826357603722091;0.11348923620796758;0.11549622256482767;0.09410427647909517;0.10802552836364496;0.09457260591142172;0.1172133927399786;0.09398180540206716
Austin Scott (politician) (R);0.10919380637062004;0.09331882293633761;0.08768754573690324;0.08692033183037813;0.09617848617309044;0.09157830690033464;0.10116612838952063;0.08881010852283804;0.08584329732474291;0.08434067270196693;0.09543216240879808;0.092687444100699;0.07666508971841976;0.10494239739743408;0.09867144865285175;0.09441145057796985;0.08787670759953933;0.08811156724666114;0.10698767978183915;0.09018132000256675
Tom Graves (R);0.10177726284369501;0.08928225037117857;0.08359516871748587;0.08059580285899474;0.08516204289612386;0.11135842356322972;0.09817163480596512;0.08957789543530453;0.07991881429716503;0.08002662629280921;0.0953026251054702;0.09063138029489062;0.07553831393342282;0.08601842329070325;0.1107572329034956;0.09223759522429392;0.09084705175063637;0.0820365844599249;0.10489702265730272;0.08219338763049504
Paul Broun (R);0.09117794592272714;0.08677969997324309;0.08434367833202744;0.0844039452944533;0.09171711347454092;0.10777215705061134;0.10399249868367744;0.09288680781068459;0.08515129541750223;0.08348204545966506;0.11099903366421518;0.09925768615493669;0.07579607851483883;0.10049431408157006;0.12345761197128038;0.09371396716373029;0.09019823603115296;0.10988902927550614;0.10552075176307243;0.109269951183091
Phil Gingrey (R);0.11301029961839285;0.10016177954977852;0.10322077860534298;0.08239565184185661;0.09818070976224322;0.09628583734992083;0.09902619140455463;0.11471251739985527;0.0872019170841269;0.08885613267636033;0.09917948271586309;0.1020248916475477;0.0807778038270302;0.10879790469695405;0.13393379451859597;0.09167543562740296;0.09751957867556374;0.09110464737621043;0.11275322670972457;0.1006466275643364
John Barrow (U.S. politician) (D);0.11505629745085102;0.10364072086166488;0.09795214509995319;0.0882120979863142;0.10232782523241754;0.10108436574167144;0.11350958994656984;0.10885046209224397;0.08561456771788666;0.08796773195470434;0.10339959653605446;0.11266889053372757;0.08268378682828961;0.1000078356854178;0.12440618404457056;0.10364900227150381;0.09984420856734083;0.09456826352907496;0.12656488158166446;0.10251646782664808
David Scott (D);0.11203140393007105;0.08796725871885758;0.09946566224661377;0.08422478050978868;0.09559194607048843;0.08300460115725992;0.07417225725520074;0.09452541327129321;0.08463295541356276;0.08882824777048626;0.10401199138415093;0.0973306579461722;0.08443255702527189;0.10100857559723544;0.12444354683252057;0.08654693932032888;0.08347398634771688;0.07381465946299748;0.10504028725476253;0.08742232144558901
Mazie Hirono (D);0.10947005120237707;0.10283848682102674;0.0904697597656528;0.08127849245225957;0.09990355071842819;0.10542993551387994;0.12217172162332071;0.10515164086444044;0.08333386476813467;0.08818867946290347;0.10378203328097338;0.11450392521304648;0.07617374957838871;0.0978274434717599;0.14630175230075249;0.08968039211547962;0.10125155537036493;0.09335117776252269;0.11649159536881659;0.10035016712823977
Mike Simpson (R);0.11463562595300611;0.10465714605003193;0.11008553068862278;0.08422729354464326;0.10950447121443005;0.11144338503603639;0.11938446785053314;0.10208722562219327;0.08697042625455212;0.110920301839258;0.1110198014224031;0.11715476948211884;0.10034138312171642;0.10406022130470165;0.1450399322468086;0.10163754989472759;0.11175118958060809;0.08814130215784785;0.12559973213654568;0.12051127104466863
Bobby Rush (D);0.10753223796963035;0.10221620024311358;0.1023730661461788;0.10773874534250626;0.10424528178448436;0.11249653316489303;0.11435466424218962;0.109604626663784;0.08444466485758664;0.10885347533586372;0.11134612274270354;0.10206097847062784;0.08202978955500871;0.10435173379393514;0.14187287339153393;0.10904803955271575;0.10452306825224286;0.09936765099193819;0.12141912323537704;0.11726916571753668
